simplified,zipf,nid,existing_decks,pinyin
转移,4.87,1393817668304,Archive::Words,zhuan3 yi2
预算,4.87,1393817668638,Archive::Words,yu4 suan4
一句,4.86,1708747486694,Archive::Words,yi1 ju4
分类,4.86,1537328247688,Archive::Words,fen1 lei4
协助,4.86,1393817668479,Archive::Words,xie2 zhu4
城镇,4.86,1707757316748,Archive::Words,cheng2 zhen4
姐姐,4.86,1537328239732,Archive::Words,jie3 jie5
家族,4.86,1707757568693,Archive::Words,jia1 zu2
就算,4.86,1703060093003,Archive::Words,jiu4 suan4
往往,4.86,1393817666782,Archive::Words,wang3 wang3
抗议,4.86,1537328247863,Archive::Words,kang4 yi4
损失,4.86,1393817667238,Archive::Words,sun3 shi1
时刻,4.86,1537328246812,Archive::Words,shi2 ke4
本人,4.86,1537328245629,Archive::Words,ben3 ren2
标志,4.86,1393817667397,Archive::Words,biao1 zhi4
梦想,4.86,1537328242857,Archive::Words,meng4 xiang3
痛苦,4.86,1393817666926,Archive::Words,tong4 ku3
的确,4.86,1537328245379,Archive::Words,di2 que4
确认,4.86,1537328244639,Archive::Words,que4 ren4
立场,4.86,1393817668579,Archive::Words,li4 chang3
网页,4.86,1537328245491,Archive::Words,wang3 ye4
重庆,4.86,1710963504828,Archive::Words,Chong2 qing4
预测,4.86,1707757130146,Archive::Words,yu4 ce4
频道,4.86,1537328247751,Archive::Words,pin2 dao4
之外,4.85,1537328247677,Archive::Words,zhi1 wai4
信号,4.85,1393817667030,Archive::Words,xin4 hao4
刚才,4.85,1393817666046,Archive::Words,gang1 cai2
名单,4.85,1537328241259,Archive::Words,ming2 dan1
地震,4.85,1393817667551,Archive::Words,di4 zhen4
展示,4.85,1393817668223,Archive::Words,zhan3 shi4
年龄,4.85,1537328247535,Archive::Words,nian2 ling2
应当,4.85,1707757024434,Archive::Words,ying1 dang1
微信,4.85,1537328244001,Archive::Words,Wei1 xin4
接近,4.85,1393817667047,Archive::Words,jie1 jin4
森林,4.85,1393817666662,Archive::Words,sen1 lin2
江苏,4.85,1708747497539,Archive::Words,Jiang1 su1
涉及,4.85,1393817668644,Archive::Words,she4 ji2
演员,4.85,1537328245799,Archive::Words,yan3 yuan2
补充,4.85,1393817667730,Archive::Words,bu3 chong1
贷款,4.85,1393817667548,Archive::Words,dai4 kuan3
遭到,4.85,1707757316573,Archive::Words,zao1 dao4
阻止,4.85,1393817666908,Archive::Words,zu3 zhi3
上帝,4.84,1707757316244,Archive::Words,Shang4 di4
上述,4.84,1707757572197,Archive::Words,shang4 shu4
临时,4.84,1393817667445,Archive::Words,lin2 shi2
争议,4.84,1393817669166,Archive::Words,zheng1 yi4
命运,4.84,1393817667103,Archive::Words,ming4 yun4
地图,4.84,1393817666165,Archive::Words,di4 tu2
声明,4.84,1393817668471,Archive::Words,sheng1 ming2
多次,4.84,1707757130358,Archive::Words,duo1 ci4
始终,4.84,1537328247604,Archive::Words,shi3 zhong1
实力,4.84,1393817668513,Archive::Words,shi2 li4
小孩,4.84,1708747486258,Archive::Words,xiao3 hai2
幸福,4.84,1393817666489,Archive::Words,xing4 fu2
新疆,4.84,1708747493043,Archive::Words,Xin1 jiang1
演出,4.84,1393817666469,Archive::Words,yan3 chu1
澳洲,4.84,1708747500202,Archive::Words,Ao4 zhou1
照顾,4.84,1537328243680,Personal,zhao4 gu5
百度,4.84,1537328247815,Archive::Words,Bai3 du4
竟然,4.84,1393817666524,Archive::Words,jing4 ran2
股份,4.84,1393817669294,Archive::Words,gu3 fen4
西部,4.84,1537328240879,Archive::Words,xi1 bu4
角度,4.84,1393817667181,Archive::Words,jiao3 du4
试图,4.84,1393817668190,Archive::Words,shi4 tu2
采访,4.84,1393817667341,Archive::Words,cai3 fang3
随后,4.84,1707757236456,Archive::Words,sui2 hou4
颜色,4.84,1537328244167,Archive::Words,yan2 se4
丈夫,4.83,1393817665879,Archive::Words,zhang4 fu5
不行,4.83,1537328246358,Archive::Words,bu4 xing2
交换,4.83,1537328245100,Archive::Words,jiao1 huan4
体验,4.83,1537328248007,Archive::Words,ti3 yan4
别的,4.83,1537328241405,Archive::Words,bie2 de5
参考,4.83,1393817667911,Archive::Words,can1 kao3
基于,4.83,1707757569134,Archive::Words,ji1 yu2
大多数,4.83,1707756790369,Archive::Words,da4 duo1 shu4
天天,4.83,1537328239909,Archive::Words,tian1 tian1
巴西,4.83,1708747507531,Archive::Words,Ba1 xi1
思考,4.83,1537328242171,Archive::Words,si1 kao3
恐怖,4.83,1537328247871,Archive::Words,kong3 bu4
授权,4.83,1707757569074,Archive::Words,shou4 quan2
播放,4.83,1393817667546,Archive::Words,bo1 fang4
有趣,4.83,1393817666350,Archive::Words,you3 qu4
武装,4.83,1393817668535,Archive::Words,wu3 zhuang1
爆炸,4.83,1393817668196,Archive::Words,bao4 zha4
等待,4.83,1393817667070,Archive::Words,deng3 dai4
组合,4.83,1537328244598,Archive::Words,zu3 he2
经典,4.83,1537328243941,Archive::Words,jing1 dian3
绿色,4.83,1537328244139,Archive::Words,lu:4 se4
至于,4.83,1393817667382,Archive::Words,zhi4 yu2
计算机,4.83,1707756790560,Archive::Words,ji4 suan4 ji1
财富,4.83,1537328246423,Archive::Words,cai2 fu4
越南,4.83,1708747501029,Archive::Words,Yue4 nan2
适应,4.83,1393817666643,Personal,shi4 ying4
事实上,4.82,1537328244794,Archive::Words,shi4 shi2 shang4
南部,4.82,1537328240878,Archive::Words,nan2 bu4
即将,4.82,1537328247213,Archive::Words,ji2 jiang1
周年,4.82,1393817668623,Archive::Words,zhou1 nian2
对待,4.82,1393817667131,cli|cli-reverse,dui4 dai4
尝试,4.82,1537328243951,Archive::Words,chang2 shi4
居住,4.82,1393817668807,Archive::Words,ju1 zhu4
房子,4.82,1707755853402,Archive::Characters,fang2 zi5
报纸,4.82,1537328245551,Archive::Words,bao4 zhi3
指挥,4.82,1393817667321,Archive::Words,zhi3 hui1
方便,4.82,1537328242613,Archive::Words,fang1 bian4
既然,4.82,1393817666443,Archive::Words,ji4 ran2
泰国,4.82,1704460576255,Archive::Words,Tai4 guo2
病毒,4.82,1393817667222,Archive::Words,bing4 du2
连结,4.82,1708747496607,Archive::Words,lian2 jie2
配合,4.82,1537328247283,Archive::Words,pei4 he2
首都,4.82,1537328241787,Archive::Words,shou3 du1
黑人,4.82,1537328244157,Archive::Words,hei1 ren2
中国共产党,4.81,1708747526347,Archive::Words,Zhong1 guo2 Gong4 chan3 dang3
之下,4.81,1537328247675,Archive::Words,zhi1 xia4
互相,4.81,1393817666542,Archive::Words,hu4 xiang1
人民币,4.81,1393817668148,Archive::Words,ren2 min2 bi4
俱乐部,4.81,1393817667026,Archive::Words,ju4 le4 bu4
司法,4.81,1393817668754,Archive::Words,si1 fa3
天气,4.81,1393817665783,Archive::Words,tian1 qi4
完善,4.81,1393817667975,Archive::Words,wan2 shan4
建造,4.81,1707757236281,Archive::Words,jian4 zao4
意外,4.81,1393817666998,Archive::Words,yi4 wai4
感情,4.81,1537328243541,Archive::Words,gan3 qing2
承诺,4.81,1393817668264,Archive::Words,cheng2 nuo4
污染,4.81,1537328246840,Archive::Words,wu1 ran3
疾病,4.81,1393817668370,Archive::Words,ji2 bing4
究竟,4.81,1393817666484,Personal,jiu1 jing4
答案,4.81,1537328247310,Archive::Words,da2 an4
红色,4.81,1707756790362,Archive::Words,hong2 se4
背后,4.81,1537328248080,Archive::Words,bei4 hou4
能源,4.81,1393817667662,Archive::Words,neng2 yuan2
自杀,4.81,1707757235931,Archive::Words,zi4 sha1
西藏,4.81,1708747496655,Archive::Words,Xi1 zang4
讲话,4.81,1537328241853,Archive::Words,jiang3 hua4
详细,4.81,1537328246683,Archive::Words,xiang2 xi4
领袖,4.81,1393817668522,Archive::Words,ling3 xiu4
马上,4.81,1537328240541,Archive::Words,ma3 shang4
下降,4.80,1537328247964,Archive::Words,xia4 jiang4
不久,4.80,1707756790456,Archive::Words,bu4 jiu3
东部,4.80,1537328240880,Archive::Words,dong1 bu4
乡村,4.80,1707757236196,Archive::Words,xiang1 cun1
决议,4.80,1707757571540,Archive::Words,jue2 yi4
原本,4.80,1707757569016,Archive::Words,yuan2 ben3
及时,4.80,1393817666694,Archive::Words,ji2 shi2
地址,4.80,1537328240790,Archive::Words,di4 zhi3
增强,4.80,1707757236576,Archive::Words,zeng1 qiang2
如下,4.80,1707757236666,Archive::Words,ru2 xia4
妹妹,4.80,1393817665901,Archive::Words,mei4 mei5
尚未,4.80,1707757570243,Archive::Words,shang4 wei4
工资,4.80,1393817666698,Archive::Words,gong1 zi1
掌握,4.80,1393817667171,Archive::Words,zhang3 wo4
收集,4.80,1537328246716,Archive::Words,shou1 ji2
暴力,4.80,1393817668251,Archive::Words,bao4 li4
期待,4.80,1537328247105,Archive::Words,qi1 dai4
生存,4.80,1393817668319,Archive::Words,sheng1 cun2
赢得,4.80,1537328247204,Archive::Words,ying2 de2
马来西亚,4.80,1708747499119,Archive::Words,Ma3 lai2 xi1 ya4
办理,4.79,1537328242750,Archive::Words,ban4 li3
动态,4.79,1393817669454,Archive::Words,dong4 tai4
发射,4.79,1393817668318,Archive::Words,fa1 she4
可爱,4.79,1393817666059,Archive::Words,ke3 ai4
启动,4.79,1707757236075,Archive::Words,qi3 dong4
在线,4.79,1537328244679,Archive::Words,zai4 xian4
外交,4.79,1393817667831,Archive::Words,wai4 jiao1
婚姻,4.79,1393817667039,Archive::Words,hun1 yin1
将军,4.79,1537328247219,Archive::Words,Jiang1 jun1
总结,4.79,1537328245145,Archive::Words,zong3 jie2
成熟,4.79,1537328245253,Archive::Words,cheng2 shu2
数学,4.79,1537328247618,Archive::Words,shu4 xue2
有着,4.79,1707757236164,Archive::Words,you3 zhe5
条例,4.79,1707757569993,Archive::Words,tiao2 li4
植物,4.79,1393817666733,Archive::Words,zhi2 wu4
深入,4.79,1707757024373,Archive::Words,shen1 ru4
科学家,4.79,1702184696212,Archive::Words,ke1 xue2 jia1
突破,4.79,1393817668587,Archive::Words,tu1 po4
简直,4.79,1393817666895,Archive::Words,jian3 zhi2
简称,4.79,1707757571037,Archive::Words,jian3 cheng1
航空,4.79,1393817668421,Archive::Words,hang2 kong1
讨厌,4.79,1537328247351,Archive::Words,tao3 yan4
证券,4.79,1717270478916,Archive::Words,zheng4 quan4
请求,4.79,1537328248095,Archive::Words,qing3 qiu2
财政,4.79,1393817668978,Archive::Words,cai2 zheng4
追求,4.79,1393817667372,Archive::Words,zhui1 qiu2
逻辑,4.79,1393817667672,Archive::Words,luo2 ji5
集体,4.79,1393817667751,Archive::Words,ji2 ti3
顺利,4.79,1393817666502,Archive::Words,shun4 li4
麻烦,4.79,1537328241212,Personal|Personal-reverse,ma2 fan5
云南,4.78,1708118395164,Archive::Words,Yun2 nan2
伦敦,4.78,1697861854300,Archive::Words,Lun2 dun1
具备,4.78,1393817667816,Archive::Words,ju4 bei4
厉害,4.78,1393817666462,Archive::Words,li4 hai5
司机,4.78,1537328241167,Archive::Words,si1 ji1
周围,4.78,1393817666508,Archive::Words,zhou1 wei2
咨询,4.78,1393817667492,Archive::Words,zi1 xun2
多久,4.78,1537328243583,Archive::Words,duo1 jiu3
意大利,4.78,1537328245958,Archive::Words,Yi4 da4 li4
提醒,4.78,1393817666495,Archive::Words,ti2 xing3
暂时,4.78,1393817666573,Archive::Words,zan4 shi2
沟通,4.78,1537328246923,Archive::Words,gou1 tong1
策略,4.78,1393817668467,Archive::Words,ce4 lu:e4
菲律宾,4.78,1708747526130,Archive::Words,Fei1 lu:4 bin1
转变,4.78,1537328246888,Archive::Words,zhuan3 bian4
违反,4.78,1393817667346,Personal|Personal-reverse,wei2 fan3
释放,4.78,1537328245358,Archive::Words,shi4 fang4
预计,4.78,1707757024481,Archive::Words,yu4 ji4
一半,4.77,1707755853506,Archive::Characters,yi1 ban4
一致,4.77,1393817667229,Archive::Words,yi1 zhi4
传说,4.77,1537328246833,Archive::Words,chuan2 shuo1
刺激,4.77,1393817667168,Archive::Words,ci4 ji1
协调,4.77,1393817669036,Archive::Words,xie2 tiao2
哪些,4.77,1537328242110,Archive::Words,na3 xie1
哲学,4.77,1537328245735,Archive::Words,zhe2 xue2
士兵,4.77,1393817667107,Archive::Words,shi4 bing1
奇怪,4.77,1393817666052,Archive::Words,qi2 guai4
差异,4.77,1707757317072,Archive::Words,cha1 yi4
市民,4.77,1707757316641,Archive::Words,shi4 min2
幸运,4.77,1537328246359,Archive::Words,xing4 yun4
承担,4.77,1393817667379,Archive::Words,cheng2 dan1
收购,4.77,1707757236617,Archive::Words,shou1 gou4
收费,4.77,1537328244339,Archive::Words,shou1 fei4
星期,4.77,1393817665766,Archive::Words,xing1 qi1
每次,4.77,1537328240529,Archive::Words,mei3 ci4
消费者,4.77,1707757236783,Archive::Words,xiao1 fei4 zhe3
签署,4.77,1393817668682,Archive::Words,qian1 shu3
落实,4.77,1393817670470,Archive::Words,luo4 shi2
装备,4.77,1393817668469,Archive::Words,zhuang1 bei4
解放,4.77,1537328245343,Archive::Words,jie3 fang4
警告,4.77,1537328246092,Archive::Words,jing3 gao4
退出,4.77,1707757024089,Archive::Words,tui4 chu1
以外,4.76,1537328247678,Archive::Words,yi3 wai4
俄国,4.76,1710963500846,Archive::Words,E2 guo2
保险,4.76,1537328248025,Archive::Words,bao3 xian3
全民,4.76,1708747498358,Archive::Words,quan2 min2
博物馆,4.76,1393817667376,Archive::Words,bo2 wu4 guan3
占领,4.76,1393817668974,Archive::Words,zhan4 ling3
年底,4.76,1537328247927,Archive::Words,nian2 di3
摄影,4.76,1393817667511,Archive::Words,she4 ying3
日报,4.76,1707756790642,Archive::Words,ri4 bao4
明星,4.76,1393817667013,Archive::Words,ming2 xing1
法庭,4.76,1707757316302,Archive::Words,fa3 ting2
皇帝,4.76,1393817669035,Archive::Words,huang2 di4
相互,4.76,1537328243762,Archive::Words,xiang1 hu4
相应,4.76,1393817669573,Archive::Words,xiang1 ying4
立刻,4.76,1537328246813,Archive::Words,li4 ke4
结论,4.76,1393817667455,Archive::Words,jie2 lun4
表明,4.76,1393817667242,Archive::Words,biao3 ming2
记忆,4.76,1393817667045,Archive::Words,ji4 yi4
试验,4.76,1393817668368,Archive::Words,shi4 yan4
随时,4.76,1393817667052,Archive::Words,sui2 shi2
事故,4.75,1393817668252,Archive::Words,shi4 gu4
事物,4.75,1393817667358,Archive::Words,shi4 wu4
伊朗,4.75,1708747501793,Archive::Words,Yi1 lang3
反而,4.75,1537328245463,Archive::Words,fan3 er2
大规模,4.75,1707757130377,Archive::Words,da4 gui1 mo2
安装,4.75,1393817667683,Archive::Words,an1 zhuang1
将会,4.75,1537328247210,Archive::Words,jiang1 hui4
希腊,4.75,1708747506530,Archive::Words,Xi1 la4
年轻人,4.75,1537328242766,Archive::Words,nian2 qing1 ren2
总部,4.75,1705356540862,Archive::Words,zong3 bu4
更是,4.75,1707757317292,Archive::Words,geng4 shi4
本地,4.75,1537328245632,Archive::Words,ben3 di4
浙江,4.75,1717270474677,Archive::Words,Zhe4 jiang1
海军,4.75,1537328247222,Archive::Words,hai3 jun1
热情,4.75,1393817666174,Archive::Words,re4 qing2
牺牲,4.75,1393817668254,Archive::Words,xi1 sheng1
睡觉,4.75,1393817665763,Archive::Words,shui4 jiao4
空气,4.75,1393817666585,Archive::Words,kong1 qi4
职务,4.75,1393817669247,Archive::Words,zhi2 wu4
股东,4.75,1393817669371,Archive::Words,gu3 dong1
街道,4.75,1537328245489,Archive::Words,jie1 dao4
袭击,4.75,1393817668194,Archive::Words,xi2 ji1
连接,4.75,1707757236235,Archive::Words,lian2 jie1
一系列,4.74,1707757573906,Archive::Words,yi1 xi4 lie4
仅仅,4.74,1707757024086,Archive::Words,jin3 jin3
卫星,4.74,1393817668350,Archive::Words,wei4 xing1
固定,4.74,1393817667577,Archive::Words,gu4 ding4
垃圾,4.74,1537328247417,Archive::Words,la1 ji1
对外,4.74,1707757317004,Archive::Words,dui4 wai4
常常,4.74,1537328243930,Archive::Words,chang2 chang2
旅行,4.74,1537328243285,Archive::Words,lu:3 xing2
有所,4.74,1707757568738,Archive::Words,you3 suo3
校长,4.74,1393817666181,Archive::Words,xiao4 zhang3
档案,4.74,1393817668235,Archive::Words,dang4 an4
欧盟,4.74,1537328245900,Archive::Words,Ou1 meng2
此次,4.74,1537328247066,Archive::Words,ci3 ci4
满意,4.74,1537328246261,Archive::Words,man3 yi4
环保,4.74,1537328246575,Archive::Words,huan2 bao3
矛盾,4.74,1393817667523,Archive::Words,mao2 dun4
种种,4.74,1707757316933,Archive::Words,zhong3 zhong3
紧急,4.74,1393817667046,Archive::Words,jin3 ji2
谈判,4.74,1537328248092,Archive::Words,tan2 pan4
车辆,4.74,1707756790535,Archive::Words,che1 liang4
阶级,4.74,1703882234954,Archive::Words,jie1 ji2
高速,4.74,1707757024393,Archive::Words,gao1 su4
黑暗,4.74,1537328245787,Archive::Words,hei1 an4
乌克兰,4.73,1708747499783,Archive::Words,Wu1 ke4 lan2
今晚,4.73,1537328240584,Archive::Words,jin1 wan3
优惠,4.73,1393817667997,Archive::Words,you1 hui4
供应,4.73,1707757130268,Archive::Words,gong1 ying4
信任,4.73,1537328247359,Archive::Words,xin4 ren4
充分,4.73,1393817667527,Archive::Words,chong1 fen4
剩下,4.73,1537328246901,Archive::Words,sheng4 xia4
呼吁,4.73,1393817669699,Archive::Words,hu1 yu4
回应,4.73,1702071622032,Archive::Words,hui2 ying4
夫人,4.73,1537328245242,Archive::Words,fu1 ren5
奴隶,4.73,1537328243846,Archive::Words,nu2 li4
对话,4.73,1393817666674,Archive::Words,dui4 hua4
患者,4.73,1393817668641,Archive::Words,huan4 zhe3
情报,4.73,1393817668249,Archive::Words,qing2 bao4
房间,4.73,1537328242341,Archive::Words,fang2 jian1
执政,4.73,1708747498180,Archive::Words,zhi2 zheng4
指数,4.73,1707757316941,Archive::Words,zhi3 shu4
探索,4.73,1393817668851,Archive::Words,tan4 suo3
接着,4.73,1537328244260,Archive::Words,jie1 zhe5
搜索,4.73,1393817667265,Archive::Words,sou1 suo3
校园,4.73,1537328242039,Archive::Words,xiao4 yuan2
每日,4.73,1708747499606,Archive::Words,mei3 ri4
法官,4.73,1703613847321,Archive::Words,fa3 guan1
海洋,4.73,1393817666729,Archive::Words,hai3 yang2
独特,4.73,1393817667542,Archive::Words,du2 te4
登记,4.73,1537328244978,Archive::Words,deng1 ji4
真相,4.73,1393817668180,Archive::Words,zhen1 xiang4
能量,4.73,1393817668270,Archive::Words,neng2 liang4
话题,4.73,1537328242332,Archive::Words,hua4 ti2
飞行,4.73,1707757024146,Archive::Words,fei1 xing2
黄金,4.73,1393817667442,Archive::Words,huang2 jin1
上升,4.72,1707757024370,Archive::Words,shang4 sheng1
不该,4.72,1708747488915,Archive::Words,bu4 gai1
倾向,4.72,1393817668570,Archive::Words,qing1 xiang4
分配,4.72,1537328247287,Archive::Words,fen1 pei4
利润,4.72,1393817667780,Archive::Words,li4 run4
吃饭,4.72,1537328240732,Archive::Words,chi1 fan4
呈现,4.72,1393817668808,Archive::Words,cheng2 xian4
地铁,4.72,1537328240785,Archive::Words,di4 tie3
姑娘,4.72,1537328245396,Archive::Words,gu1 niang5
想象,4.72,1537328244391,Archive::Words,xiang3 xiang4
有限,4.72,1537328247810,Archive::Words,you3 xian4
河南,4.72,1537328241976,Archive::Words,He2 nan2
流行,4.72,1537328243251,Archive::Words,liu2 xing2
澳大利亚,4.72,1708747485370,Archive::Words,Ao4 da4 li4 ya4
灵魂,4.72,1393817668195,Archive::Words,ling2 hun2
爱国,4.72,1537328240032,Archive::Words,ai4 guo2
知名,4.72,1707757316727,Archive::Words,zhi1 ming2
纪录,4.72,1393817667422,Archive::Words,ji4 lu4
纷纷,4.72,1393817668052,Archive::Words,fen1 fen1
群体,4.72,1707757236626,Archive::Words,qun2 ti3
股票,4.72,1393817667564,Archive::Words,gu3 piao4
荷兰,4.72,1708747506226,Archive::Words,He2 lan2
装置,4.72,1707757129918,Archive::Words,zhuang1 zhi4
证实,4.72,1393817668330,Archive::Words,zheng4 shi2
谈话,4.72,1537328247362,Archive::Words,tan2 hua4
资讯,4.72,1707757571655,Archive::Words,zi1 xun4
进攻,4.72,1393817668346,Archive::Words,jin4 gong1
透过,4.72,1707757569746,Archive::Words,tou4 guo4
预期,4.72,1393817669079,Archive::Words,yu4 qi1
一级,4.71,1537328241806,Archive::Words,yi1 ji2
不如,4.71,1393817667485,Archive::Words,bu4 ru2
不必,4.71,1537328247657,Archive::Words,bu4 bi4
不满,4.71,1707756790602,Archive::Words,bu4 man3
产量,4.71,1707757317227,Archive::Words,chan3 liang4
保留,4.71,1537328245929,Archive::Words,bao3 liu2
加速,4.71,1537328247904,Archive::Words,jia1 su4
印象,4.71,1393817666526,Archive::Words,yin4 xiang4
可惜,4.71,1537328245984,Archive::Words,ke3 xi1
坚决,4.71,1393817667885,Archive::Words,jian1 jue2
将来,4.71,1537328247211,Archive::Words,jiang1 lai2
慢慢,4.71,1537328246263,Archive::Words,man4 man4
成都,4.71,1708747509838,Archive::Words,Cheng2 du1
排名,4.71,1537328243702,Archive::Words,pai2 ming2
本质,4.71,1537328245687,Archive::Words,ben3 zhi4
条约,4.71,1393817669290,Archive::Words,tiao2 yue1
游客,4.71,1707756790612,Archive::Words,you2 ke4
秘书,4.71,1537328247660,Archive::Words,mi4 shu1
约翰,4.71,1708747500785,Archive::Words,Yue1 han4
罗马,4.71,1708747499841,Archive::Words,Luo2 ma3
表面,4.71,1393817667431,Archive::Words,biao3 mian4
逮捕,4.71,1393817668206,Archive::Words,dai4 bu3
交给,4.70,1537328245078,Archive::Words,jiao1 gei3
仪式,4.70,1393817668312,Archive::Words,yi2 shi4
共和国,4.70,1393817669151,Archive::Words,gong4 he2 guo2
兴奋,4.70,1537328243434,Archive::Words,xing1 fen4
厕所,4.70,1393817666543,Archive::Words,ce4 suo3
建成,4.70,1537328245836,Archive::Words,jian4 cheng2
弟弟,4.70,1537328239741,Archive::Words,di4 di5
形势,4.70,1393817667734,Archive::Words,xing2 shi4
彼此,4.70,1537328247073,Archive::Words,bi3 ci3
房屋,4.70,1707757024431,Archive::Words,fang2 wu1
日期,4.70,1393817667519,Archive::Words,ri4 qi1
智慧,4.70,1393817667432,Archive::Words,zhi4 hui4
欣赏,4.70,1393817667177,Archive::Words,xin1 shang3
此时,4.70,1537328243063,Archive::Words,ci3 shi2
消灭,4.70,1393817668444,Archive::Words,xiao1 mie4
湖南,4.70,1708747527100,Archive::Words,Hu2 nan2
熟悉,4.70,1537328245255,Archive::Words,shu2 xi1
皮肤,4.70,1537328245280,Archive::Words,pi2 fu1
等级,4.70,1537328246957,Archive::Words,deng3 ji2
舞台,4.70,1537328244932,Archive::Words,wu3 tai2
著作,4.70,1393817669741,Archive::Words,zhu4 zuo4
观念,4.70,1537328246074,Archive::Words,guan1 nian4
评估,4.70,1393817668556,Archive::Words,ping2 gu1
象征,4.70,1393817667611,Archive::Words,xiang4 zheng1
重建,4.70,1707757316630,Archive::Words,chong2 jian4
领土,4.70,1393817669478,Archive::Words,ling3 tu3
黑色,4.70,1707756790430,Archive::Words,hei1 se4
不得不,4.69,1537328244869,Archive::Words,bu4 de2 bu4
候选人,4.69,1537328245749,Personal|Personal-reverse,hou4 xuan3 ren2
决策,4.69,1393817669455,Archive::Words,jue2 ce4
创建,4.69,1537328247778,Archive::Words,chuang4 jian4
医学,4.69,1707757130057,Archive::Words,yi1 xue2
受害者,4.69,1537328244302,Archive::Words,shou4 hai4 zhe3
失望,4.69,1537328246500,Archive::Words,shi1 wang4
女士,4.69,1537328242254,Archive::Words,nu:3 shi4
学科,4.69,1707757236855,Archive::Words,xue2 ke1
平衡,4.69,1393817667456,Archive::Words,ping2 heng2
得以,4.69,1707757236548,Archive::Words,de2 yi3
心情,4.69,1537328242794,Archive::Words,xin1 qing2
思维,4.69,1393817668780,Archive::Words,si1 wei2
推特,4.69,1717270473667,Archive::Words,Tui1 te4
撤销,4.69,1393817668749,Archive::Words,che4 xiao1
旁边,4.69,1537328241732,Archive::Words,pang2 bian1
模型,4.69,1537328247755,Archive::Words,mo2 xing2
气候,4.69,1393817666802,Archive::Words,qi4 hou4
浪费,4.69,1537328246303,Archive::Words,lang4 fei4
混乱,4.69,1393817668313,Archive::Words,hun4 luan4
祖国,4.69,1393817668948,Archive::Words,zu3 guo2
等于,4.69,1537328244773,Archive::Words,deng3 yu2
腐败,4.69,1393817669045,Archive::Words,fu3 bai4
视为,4.69,1707757236584,Archive::Words,shi4 wei2
记载,4.69,1393817669218,Archive::Words,ji4 zai3
通讯,4.69,1393817668555,Archive::Words,tong1 xun4
防止,4.69,1393817668663,Archive::Words,fang2 zhi3
一块,4.68,1537328239605,Archive::Words,yi1 kuai4
上传,4.68,1537328243052,Archive::Words,shang4 chuan2
上午,4.68,1537328240602,Archive::Words,shang4 wu3
不论,4.68,1707757024245,Archive::Words,bu4 lun4
两次,4.68,1537328240259,Archive::Words,
保存,4.68,1537328247452,Archive::Words,bao3 cun2
冲击,4.68,1393817669277,Archive::Words,chong1 ji1
单独,4.68,1537328242918,Archive::Words,dan1 du2
墨西哥,4.68,1708747526073,Archive::Words,Mo4 xi1 ge1
大大,4.68,1707756790575,Archive::Words,da4 da4
寻求,4.68,1707757236226,Archive::Words,xun2 qiu2
庆祝,4.68,1393817667073,Archive::Words,qing4 zhu4
强化,4.68,1537328246046,Archive::Words,qiang2 hua4
战士,4.68,1707757130011,Archive::Words,zhan4 shi4
打电话,4.68,1393817665735,Archive::Words,da3 dian4 hua4
教堂,4.68,1707757316308,Archive::Words,jiao4 tang2
显得,4.68,1393817667371,Archive::Words,xian3 de5
歌曲,4.68,1707757236022,Archive::Words,ge1 qu3
湖北,4.68,1717270489023,Archive::Words,Hu2 bei3
激烈,4.68,1537328246031,Archive::Words,ji1 lie4
研发,4.68,1707757316995,Archive::Words,yan2 fa1
素质,4.68,1393817669723,Archive::Words,su4 zhi4
细节,4.68,1393817667148,Archive::Words,xi4 jie2
贫困,4.68,1393817669382,Archive::Words,pin2 kun4
超越,4.68,1393817668668,Archive::Words,chao1 yue4
轻松,4.68,1393817666531,Archive::Words,qing1 song1
途径,4.68,1393817668926,Archive::Words,tu2 jing4
金额,4.68,1707757317017,Archive::Words,jin1 e2
骗子,4.68,1537328243744,Archive::Words,pian4 zi5
一带,4.67,1707757236608,Archive::Words,yi1 dai4
不但,4.67,1537328245390,Archive::Words,bu4 dan4
再也,4.67,1707757236527,Archive::Words,zai4 ye3
准确,4.67,1393817666687,Archive::Words,zhun3 que4
叫做,4.67,1537328242852,Archive::Words,jiao4 zuo4
可怜,4.67,1537328245982,Archive::Words,ke3 lian2
品质,4.67,1537328246398,Archive::Words,pin3 zhi4
回忆,4.67,1537328246511,Archive::Words,hui2 yi4
宇宙,4.67,1393817668328,Archive::Words,yu3 zhou4
实验室,4.67,1537328248012,Archive::Words,shi2 yan4 shi4
当初,4.67,1393817668388,Archive::Words,dang1 chu1
批判,4.67,1537328248094,Archive::Words,pi1 pan4
毫无,4.67,1393817668205,Archive::Words,hao2 wu2
男女,4.67,1707757130301,Archive::Words,nan2 nu:3
相反,4.67,1537328244429,Archive::Words,xiang1 fan3
礼物,4.67,1537328243341,Archive::Words,li3 wu4
简介,4.67,1707757317215,Archive::Words,jian3 jie4
算是,4.67,1707757316285,Archive::Words,suan4 shi4
经费,4.67,1393817669490,Archive::Words,jing1 fei4
自治区,4.67,1708747500961,Archive::Words,zi4 zhi4 qu1
艺术家,4.67,1708747491514,Archive::Words,yi4 shu4 jia1
获取,4.67,1707757130277,Archive::Words,huo4 qu3
诗人,4.67,1702812477885,Archive::Words,shi1 ren2
赚钱,4.67,1537328246905,Archive::Words,zhuan4 qian2
